paises,Año,valor
suecia,2020,21514.1533253662
suiza,2020,-50251.7302455363
tailandia,2020,-4950.9983569
macedonia,2020,230.0606563519
timor oriental,2020,-804.7964807
tonga,2020,4.2263883
trinidad tobago,2020,1055.7884544
tunez,2020,652.1218137947
turquia,2020,0.0
uganda,2020,873.7697904
ucrania,2020,-36.0
emiratos arabes unidos,2020,19884.4686649
reino unido,2020,58237.1794871795
estados unidos,2020,95882.0
uruguay,2020,753.2187613
venezuela,2020,-456.0
vietnam,2020,15800.0
yemen,2020,0.0
zambia,2020,245.2054914
zimbabue,2020,194.0
afganistan,2021,20.6009761
albania,2021,1233.9176859919
argelia,2021,869.65657
angola,2021,-4355.1165527
argentina,2021,6782.3488872
armenia,2021,366.4452148
aruba,2021,143.047538324
australia,2021,20898.8119204582
austria,2021,13493.6483416795
azerbaiyan,2021,-1707.7
bahamas,2021,1185.0
bahrein,2021,1779.1755319149
bangladesh,2021,2895.56
barbados,2021,238.7350643
belarus,2021,1238.41386
belgica,2021,11587.3087212919
belice,2021,125.495495
benin,2021,345.9852355953
islas bermudas,2021,1.5314229
bolivia,2021,583.5764247
bosnia y herzegoniva,2021,587.3158814131
botsuana,2021,-318.8719495569
brasil,2021,50651.1702806
islas virgenes britanicas,2021,39361.4984103
brunei darussalam,2021,204.7493272471
bulgaria,2021,1892.4481095076
burkina faso,2021,-79.9573553438
burundi,2021,9.9335399547
cabo verde,2021,104.2537361546
camboya,2021,3483.4616057
camerun,2021,963.5315035
canada,2021,65658.7528122774
islas caiman,2021,25893.0892074
republica centroafricana,2021,5.4099802504
chad,2021,705.1007593043
chile,2021,13193.9758052
china,2021,180957.2149443
hong kong,2021,140186.022577429
macao,2021,4771.0758010836
taiwan,2021,5416.0
colombia,2021,9381.29061
congo,2021,531.9813912909
islas cook,2021,-2.2084299
costa rica,2021,3231.0517604
cote divoire,2021,1376.5587990241
croacia,2021,4427.4224181366
curazao,2021,145.7004006704
chipre,2021,-35743.7630167689
czechia,2021,9050.6439183857
checoslovaquia,2021,0.0
republica democratica del congo,2021,1870.0325028
dinamarca,2021,4681.4809913549
republica dominicana,2021,3196.8
ecuador,2021,647.2981509
egipto,2021,5122.0
el salvador,2021,314.47614
guinea ecuatorial,2021,459.8483212854
estonia,2021,-831.9995884063
fiyi,2021,407.0252912998
finlandia,2021,13806.129907486
francia,2021,30884.9027905579
polinesia frances,2021,-25.6244477176
gabon,2021,1529.2210841177
gambia,2021,248.55
georgia,2021,1241.82174
alemania,2021,46467.6615091296
ghana,2021,2413.89
grecia,2021,6328.1893248208
guatemala,2021,3461.7743
guinea,2021,197.61
guinea bissau,2021,18.5297233557
guayana,2021,4468.10466
haiti,2021,51.299
honduras,2021,738.7
hungria,2021,7558.8109729513
islandia,2021,153.0449206332
india,2021,44762.6796365955
indonesia,2021,21131.11
iran,2021,1425.0
irak,2021,-2637.0
irlanda,2021,-4929.6624222052
israel,2021,21486.458
italia,2021,-8955.7110990734
jamaica,2021,320.48
japon,2021,24652.0311709086
jordan,2021,621.8309859155
kazakhstan,2021,3336.7948055
kenia,2021,463.3489357
kiribati,2021,1.031376
rep de corea,2021,22060.4
kuwait,2021,567.2268211097
kirguistan,2021,226.2
lao,2021,1071.9137156
letonia,2021,3322.3180767693
libano,2021,605.143327
liberia,2021,45.68
libia,2021,0.0
lituania,2021,2864.5738467689
luxemburgo,2021,25122.5910532777
madagascar,2021,357.5366653
malawi,2021,129.4970785
malasia,2021,12173.3758952409
mali,2021,639.9441653972
malta,2021,4116.2834981679
mauritania,2021,1063.5400782285
mauricio,2021,253.1892527542
mejico,2021,31543.457456
mongolia,2021,2173.39
montenegro,2021,698.9195783767
marruecos,2021,2266.4556114246
mozambique,2021,5101.6679545
namibia,2021,697.2702178443
paises bajos,2021,-77453.3756951557
antillas holandesas,2021,0.0
nueva caledonia,2021,793.713550772
nueva zelanda,2021,3993.4927146697
nicaragua,2021,1220.1
niger,2021,594.831963083
nigeria,2021,3313.21
noruega,2021,1749.3597206054
oman,2021,4020.8062418726
pakistan,2021,2147.0
panama,2021,1926.9511123
papua nueva guinea,2021,-10.7124914358
paraguay,2021,191.5862305
peru,2021,5755.3612241
filipinas,2021,11983.36333
polonia,2021,29580.0764231857
portugal,2021,9614.9249481368
katar,2021,-1093.4065934
republica de moldova,2021,410.05
rumania,2021,10573.7001090487
federacion rusa,2021,38638.90745
ruanda,2021,399.2944886
santo tome principe,2021,13.9485279
arabia saudita,2021,19285.6435846
senegal,2021,2588.1249941674
serbia,2021,5087.102013734
serbia montenegro,2021,0.0
seychelles,2021,224.7846582
sierra leona,2021,212.0
singapur,2021,131151.4920546073
sint maarten,2021,27.9507924022
eslovaquia,2021,58.7088778868
eslovenia,2021,1773.304044736
islas salomon,2021,27.8048534122
sudafrica,2021,40948.1145742535
españa,2021,21957.1753318178
sri lanka,2021,592.2899699
estado de palestina,2021,353.4770549
suriname,2021,-124.0453495
suazilandia,2021,117.4739160892
suecia,2021,21133.1643535228
suiza,2021,-88169.2998601515
tailandia,2021,14640.8730289
macedonia,2021,556.4949792666
timor oriental,2021,-755.276826
tonga,2021,0.2584876
trinidad tobago,2021,-1008.381652
tunez,2021,660.2332394693
